country,Year,Hours worked per year (hours/year)
GRC,1983,2072.0
GRC,1984,2003.0
GRC,1985,2020.0
GRC,1986,2009.0
GRC,1987,1968.0
GRC,1988,1957.0
GRC,1989,1997.0
GRC,1990,1976.0
GRC,1991,2005.0
GRC,1992,2031.0
GRC,1993,2051.0
GRC,1994,2018.0
GRC,1995,2001.0
GRC,1996,2000.0
GRC,1997,1998.0
GRC,1998,1999.0
GRC,1999,1995.0
GRC,2000,1998.0
GRC,2001,1992.0
GRC,2002,1984.0
GRC,2003,1983.0
GRC,2004,1974.0
GRC,2005,2025.0
GRC,2006,2015.0
GRC,2007,2001.0
GRC,2008,1997.0
GRC,2009,1973.0
GRC,2010,1931.0
GRC,2011,1950.0
GRC,2012,1990.0
GRC,2013,1997.0
GRC,2014,1949.0
GRC,2015,1935.0
GRC,2016,1943.0
GRC,2017,1947.0
GRC,2018,1965.0
GRC,2019,1920.0
GRC,2020,1728.0
HUN,1980,2348.0
HUN,1981,2347.0
HUN,1982,2248.0
HUN,1983,2226.0
HUN,1984,2149.0
HUN,1985,2120.0
HUN,1986,2111.0
HUN,1987,2158.0
HUN,1988,2151.0
HUN,1989,2125.0
HUN,1990,2082.0
HUN,1991,2048.0
HUN,1992,2002.0
HUN,1993,2002.0
HUN,1994,2142.0
HUN,1995,1948.0
HUN,1996,1946.0
HUN,1997,1954.3
HUN,1998,1945.1
HUN,1999,1952.4
HUN,2000,1932.4
HUN,2001,1897.8
HUN,2002,1883.6
HUN,2003,1856.3
HUN,2004,1858.6
HUN,2005,1834.1
HUN,2006,1813.9
HUN,2007,1787.8
HUN,2008,1791.2
HUN,2009,1758.2
HUN,2010,1766.4
HUN,2011,1753.7
HUN,2012,1738.3
HUN,2013,1733.6
HUN,2014,1748.6
HUN,2015,1745.9
HUN,2016,1760.2
HUN,2017,1747.4
HUN,2018,1729.9
HUN,2019,1722.2
HUN,2020,1660.3
IRL,1970,2335.0
IRL,1971,2318.0
IRL,1972,2297.0
IRL,1973,2285.0
IRL,1974,2248.0
IRL,1975,2239.0
IRL,1976,2233.0
IRL,1977,2203.0
IRL,1978,2184.0
IRL,1979,2162.0
IRL,1980,2123.0
IRL,1981,2091.0
IRL,1982,2084.0
IRL,1983,2074.0
IRL,1984,2056.0
IRL,1985,2063.0
IRL,1986,2097.0
IRL,1987,2077.0
IRL,1988,2085.0
IRL,1989,2092.0
IRL,1990,2081.0
IRL,1991,2046.0
IRL,1992,1998.0
IRL,1993,1971.0
IRL,1994,1971.0
IRL,1995,1963.0
IRL,1996,1954.0
IRL,1997,1954.0
IRL,1998,1953.0
IRL,1999,1942.0
IRL,2000,1933.0
IRL,2001,1924.0
IRL,2002,1904.0
IRL,2003,1887.0
IRL,2004,1875.0
IRL,2005,1883.0
IRL,2006,1879.0
IRL,2007,1865.0
IRL,2008,1844.0
IRL,2009,1812.0
IRL,2010,1721.0
IRL,2011,1737.0
IRL,2012,1738.0
IRL,2013,1743.0
IRL,2014,1757.0
IRL,2015,1771.0
IRL,2016,1763.0
IRL,2017,1775.0
IRL,2018,1782.0
IRL,2019,1771.0
IRL,2020,1746.0
ITA,1995,1856.2
ITA,1996,1866.2
ITA,1997,1859.9
ITA,1998,1873.1
ITA,1999,1869.9
ITA,2000,1850.2
ITA,2001,1837.6
ITA,2002,1826.2
ITA,2003,1815.1
ITA,2004,1814.6
ITA,2005,1811.1
ITA,2006,1811.9
ITA,2007,1817.7
ITA,2008,1806.5
ITA,2009,1775.2
ITA,2010,1776.8
ITA,2011,1772.6
ITA,2012,1733.6
ITA,2013,1719.1
ITA,2014,1716.3
ITA,2015,1717.5
ITA,2016,1721.7
ITA,2017,1719.2
ITA,2018,1719.4
ITA,2019,1714.7
ITA,2020,1558.7
LUX,1995,1593.0
LUX,1996,1600.0
LUX,1997,1598.0
LUX,1998,1593.0
LUX,1999,1592.0
LUX,2000,1602.0
LUX,2001,1586.0
LUX,2002,1581.0
LUX,2003,1579.0
LUX,2004,1578.0
LUX,2005,1550.0
LUX,2006,1552.0
LUX,2007,1566.0
LUX,2008,1567.0
LUX,2009,1517.0
LUX,2010,1517.0
LUX,2011,1515.0
LUX,2012,1508.0
LUX,2013,1503.0
LUX,2014,1506.0
LUX,2015,1514.0
LUX,2016,1512.0
LUX,2017,1506.0
LUX,2018,1506.0
LUX,2019,1506.0
LUX,2020,1427.0
NLD,1970,1809.0
NLD,1971,1777.0
NLD,1972,1775.0
NLD,1973,1749.0
NLD,1974,1696.0
NLD,1975,1644.0
NLD,1976,1628.0
NLD,1977,1608.0
NLD,1978,1580.0
NLD,1979,1559.0
NLD,1980,1556.0
NLD,1981,1556.0
NLD,1982,1542.0
NLD,1983,1527.0
NLD,1984,1519.0
NLD,1985,1502.0
NLD,1986,1488.0
NLD,1987,1467.0
NLD,1988,1464.0
NLD,1989,1459.0
NLD,1990,1454.0
NLD,1991,1444.0
NLD,1992,1451.0
NLD,1993,1440.0
NLD,1994,1447.0
NLD,1995,1482.0
NLD,1996,1496.0
NLD,1997,1482.0
NLD,1998,1479.0
NLD,1999,1477.0
NLD,2000,1464.0
NLD,2001,1454.0
NLD,2002,1436.0
NLD,2003,1428.0
NLD,2004,1448.0
NLD,2005,1434.0
NLD,2006,1430.0
NLD,2007,1429.0
NLD,2008,1429.0
NLD,2009,1420.0
NLD,2010,1420.0
NLD,2011,1420.0
NLD,2012,1411.0
NLD,2013,1415.0
NLD,2014,1426.0
NLD,2015,1426.0
NLD,2016,1437.0
NLD,2017,1437.0
NLD,2018,1436.0
NLD,2019,1440.0
NLD,2020,1399.0
POL,1993,1901.0
POL,1994,1938.0
POL,1995,1901.0
POL,1996,1915.0
POL,1997,1910.0
POL,1998,1887.0
POL,1999,1827.0
POL,2000,1869.0
POL,2001,1855.0
POL,2002,1850.0
POL,2003,1859.0
POL,2004,1859.0
POL,2005,1855.0
POL,2006,1850.0
POL,2007,1850.0
POL,2008,1846.0
POL,2009,1834.0
POL,2010,1831.0
POL,2011,1822.0
POL,2012,1822.0
POL,2013,1817.0
POL,2014,1822.0
POL,2015,1862.0
POL,2016,1831.0
POL,2017,1808.0
POL,2018,1785.0
POL,2019,1781.0
POL,2020,1766.0
PRT,1970,1963.0
PRT,1971,1951.0
PRT,1972,1939.0
PRT,1973,1927.0
PRT,1974,1915.0
PRT,1975,1904.0
PRT,1976,1892.0
PRT,1977,1881.0
PRT,1978,1870.0
PRT,1979,1859.0
PRT,1980,1849.0
PRT,1981,1838.0
PRT,1982,1827.0
PRT,1983,1817.0
PRT,1984,1806.0
PRT,1985,1796.0
PRT,1986,1785.0
PRT,1987,1799.0
PRT,1988,1798.0
PRT,1989,1818.0
PRT,1990,1806.0
PRT,1991,1739.0
PRT,1992,1682.0
PRT,1993,1684.0
PRT,1994,1692.0
PRT,1995,1749.0
PRT,1996,1750.0
PRT,1997,1746.0
PRT,1998,1760.0
PRT,1999,1762.0
PRT,2000,1770.0
PRT,2001,1755.0
PRT,2002,1749.0
PRT,2003,1742.0
PRT,2004,1748.0
PRT,2005,1750.0
PRT,2006,1739.0
PRT,2007,1755.0
PRT,2008,1743.0
PRT,2009,1743.0
PRT,2010,1746.0
PRT,2011,1724.0
PRT,2012,1708.0
PRT,2013,1718.0
PRT,2014,1725.0
PRT,2015,1732.0
PRT,2016,1737.0
PRT,2017,1727.0
PRT,2018,1738.0
PRT,2019,1745.0
PRT,2020,1613.0
SVK,1995,1853.0
SVK,1996,1820.0
SVK,1997,1830.0
SVK,1998,1822.0
SVK,1999,1816.0
SVK,2000,1816.0
SVK,2001,1801.0
SVK,2002,1754.0
SVK,2003,1698.0
SVK,2004,1742.0
SVK,2005,1769.0
SVK,2006,1774.0
SVK,2007,1791.0
SVK,2008,1793.0
SVK,2009,1780.0
SVK,2010,1805.0
SVK,2011,1793.0
SVK,2012,1789.0
SVK,2013,1772.0
SVK,2014,1760.0
SVK,2015,1754.0
SVK,2016,1740.0
SVK,2017,1714.0
SVK,2018,1704.0
SVK,2019,1692.0
SVK,2020,1572.0
ESP,1977,2036.3
ESP,1978,2004.9
ESP,1979,1954.3
ESP,1980,1936.0
ESP,1981,1901.6
ESP,1982,1880.3
ESP,1983,1847.9
ESP,1984,1803.4
ESP,1985,1793.3
ESP,1986,1785.2
ESP,1987,1777.1
ESP,1988,1773.0
ESP,1989,1760.9
ESP,1990,1762.9
ESP,1991,1772.0
ESP,1992,1763.9
ESP,1993,1755.8
ESP,1994,1754.8
ESP,1995,1754.8
ESP,1996,1749.7
ESP,1997,1749.7
ESP,1998,1753.8
ESP,1999,1753.8
ESP,2000,1752.8
ESP,2001,1762.1
ESP,2002,1763.6
ESP,2003,1754.6
ESP,2004,1739.9
ESP,2005,1723.7
ESP,2006,1713.7
ESP,2007,1701.3
ESP,2008,1710.1
ESP,2009,1715.8
ESP,2010,1705.8
ESP,2011,1710.7
ESP,2012,1696.7
ESP,2013,1689.8
ESP,2014,1690.6
ESP,2015,1694.2
ESP,2016,1701.5
ESP,2017,1692.4
ESP,2018,1698.9
ESP,2019,1687.7
ESP,2020,1577.2
SWE,1950,1824.0
SWE,1951,1816.0
SWE,1952,1816.0
SWE,1953,1797.0
SWE,1954,1807.0
SWE,1955,1797.0
SWE,1956,1775.0
SWE,1957,1775.0
SWE,1958,1746.0
SWE,1959,1722.0
SWE,1960,1718.0
SWE,1961,1720.0
SWE,1962,1709.0
SWE,1963,1703.0
SWE,1964,1675.0
SWE,1965,1665.0
SWE,1966,1653.0
SWE,1967,1625.0
SWE,1968,1586.0
SWE,1969,1565.0
SWE,1970,1565.0
SWE,1971,1536.0
SWE,1972,1500.0
SWE,1973,1485.0
SWE,1974,1468.0
SWE,1975,1446.0
SWE,1976,1455.0
SWE,1977,1430.0
SWE,1978,1394.0
SWE,1979,1384.0
SWE,1980,1382.0
SWE,1981,1374.0
SWE,1982,1387.0
SWE,1983,1396.0
SWE,1984,1399.0
SWE,1985,1402.0
SWE,1986,1400.0
SWE,1987,1409.0
SWE,1988,1427.0
SWE,1989,1426.0
SWE,1990,1423.0
SWE,1991,1410.0
SWE,1992,1427.0
SWE,1993,1443.0
SWE,1994,1477.0
SWE,1995,1483.0
SWE,1996,1493.0
SWE,1997,1498.0
SWE,1998,1497.0
SWE,1999,1506.0
SWE,2000,1486.0
SWE,2001,1465.0
SWE,2002,1445.0
SWE,2003,1432.0
SWE,2004,1454.0
SWE,2005,1453.0
SWE,2006,1451.0
SWE,2007,1463.0
SWE,2008,1472.0
SWE,2009,1459.0
SWE,2010,1484.0
SWE,2011,1484.0
SWE,2012,1472.0
SWE,2013,1464.0
SWE,2014,1465.0
SWE,2015,1466.0
SWE,2016,1478.0
SWE,2017,1466.0
SWE,2018,1466.0
SWE,2019,1452.0
SWE,2020,1424.0
EST,2000,1884.0
EST,2001,1877.0
EST,2002,1879.0
EST,2003,1884.0
EST,2004,1892.0
EST,2005,1913.0
EST,2006,1906.0
EST,2007,1903.0
EST,2008,1874.0
EST,2009,1745.0
EST,2010,1785.0
EST,2011,1827.0
EST,2012,1796.0
EST,2013,1777.0
EST,2014,1771.0
EST,2015,1763.0
EST,2016,1767.0
EST,2017,1768.0
EST,2018,1724.0
EST,2019,1711.0
EST,2020,1654.0
SVN,1995,1755.0
SVN,1996,1727.0
SVN,1997,1715.0
SVN,1998,1728.0
SVN,1999,1730.0
SVN,2000,1710.1
SVN,2001,1695.9
SVN,2002,1720.5
SVN,2003,1723.8
SVN,2004,1736.5
SVN,2005,1696.6
SVN,2006,1667.4
SVN,2007,1654.9
SVN,2008,1673.5
SVN,2009,1679.0
SVN,2010,1680.3
SVN,2011,1663.4
SVN,2012,1644.3
SVN,2013,1662.2
SVN,2014,1681.8
SVN,2015,1687.3
SVN,2016,1652.4
SVN,2017,1621.5
SVN,2018,1598.7
SVN,2019,1601.4
SVN,2020,1514.6
LVA,2000,1728.0
LVA,2001,1738.0
LVA,2002,1695.0
LVA,2003,1686.0
LVA,2004,1643.0
LVA,2005,1666.0
LVA,2006,1668.0
LVA,2007,1643.0
LVA,2008,1751.0
LVA,2009,1707.0
LVA,2010,1692.0
LVA,2011,1707.0
LVA,2012,1692.0
LVA,2013,1686.0
LVA,2014,1695.0
LVA,2015,1663.0
LVA,2016,1664.0
LVA,2017,1650.0
LVA,2018,1661.0
LVA,2019,1631.0
LVA,2020,1577.0
LTU,1995,1527.0
LTU,1996,1525.0
LTU,1997,1530.0
LTU,1998,1571.0
LTU,1999,1524.0
LTU,2000,1630.0
LTU,2001,1617.0
LTU,2002,1591.0
LTU,2003,1577.0
LTU,2004,1659.0
LTU,2005,1659.0
LTU,2006,1655.0
LTU,2007,1681.0
LTU,2008,1707.0
LTU,2009,1645.0
LTU,2010,1697.0
LTU,2011,1674.0
LTU,2012,1672.0
LTU,2013,1657.0
LTU,2014,1650.0
LTU,2015,1673.0
LTU,2016,1694.0
LTU,2017,1657.0
LTU,2018,1664.0
LTU,2019,1665.0
LTU,2020,1595.0
