country,Year,Poverty rate (no unit)
AUT,2007,0.133
AUT,2008,0.127
AUT,2009,0.116
AUT,2010,0.113
AUT,2011,0.108
AUT,2012,0.113
AUT,2013,0.099
AUT,2014,0.09
AUT,2015,0.078
AUT,2016,0.088
AUT,2017,0.097
AUT,2018,0.1
AUT,2019,0.101
BEL,2018,0.085
BEL,2019,0.105
CZE,2004,0.022
CZE,2005,0.024
CZE,2006,0.027
CZE,2007,0.041
CZE,2008,0.046
CZE,2009,0.028
CZE,2010,0.034
CZE,2011,0.025
CZE,2012,0.023
CZE,2013,0.026
CZE,2014,0.037
CZE,2015,0.042
CZE,2016,0.046
CZE,2017,0.074
CZE,2018,0.104
CZE,2019,0.082
DNK,2011,0.058
DNK,2012,0.046
DNK,2013,0.038
DNK,2014,0.032
DNK,2015,0.031
DNK,2016,0.03
DNK,2017,0.03
DNK,2018,0.036
FIN,1987,0.116
FIN,1988,0.13
FIN,1989,0.152
FIN,1990,0.175
FIN,1991,0.132
FIN,1992,0.101
FIN,1993,0.048
FIN,1994,0.048
FIN,1995,0.054
FIN,1996,0.066
FIN,1997,0.065
FIN,1998,0.075
FIN,1999,0.08
FIN,2000,0.084
FIN,2001,0.09
FIN,2002,0.083
FIN,2003,0.084
FIN,2004,0.107
FIN,2005,0.109
FIN,2006,0.105
FIN,2007,0.135
FIN,2008,0.129
FIN,2009,0.107
FIN,2010,0.098
FIN,2011,0.109
FIN,2012,0.093
FIN,2013,0.078
FIN,2014,0.066
FIN,2015,0.052
FIN,2016,0.05
FIN,2017,0.063
FIN,2018,0.072
FRA,2012,0.032
FRA,2013,0.035
FRA,2014,0.033
FRA,2015,0.031
FRA,2016,0.034
FRA,2017,0.036
FRA,2018,0.041
FRA,2019,0.044
DEU,2008,0.107
DEU,2011,0.09
DEU,2012,0.094
DEU,2013,0.084
DEU,2014,0.095
DEU,2015,0.096
DEU,2016,0.096
DEU,2017,0.102
DEU,2018,0.091
GRC,2004,0.184
GRC,2005,0.175
GRC,2006,0.151
GRC,2007,0.144
GRC,2008,0.133
GRC,2009,0.131
GRC,2010,0.156
GRC,2011,0.073
GRC,2012,0.065
GRC,2013,0.083
GRC,2014,0.084
GRC,2015,0.077
GRC,2016,0.079
GRC,2017,0.072
GRC,2018,0.075
GRC,2019,0.072
HUN,2006,0.035
HUN,2007,0.023
HUN,2008,0.025
HUN,2009,0.019
HUN,2010,0.021
HUN,2011,0.024
HUN,2012,0.018
HUN,2013,0.019
HUN,2014,0.025
HUN,2015,0.039
HUN,2016,0.054
HUN,2017,0.049
HUN,2018,0.053
HUN,2019,0.132
IRL,2004,0.235
IRL,2005,0.185
IRL,2006,0.206
IRL,2007,0.123
IRL,2008,0.09
IRL,2009,0.065
IRL,2010,0.074
IRL,2011,0.095
IRL,2012,0.067
IRL,2013,0.081
IRL,2014,0.068
IRL,2015,0.064
IRL,2016,0.06
IRL,2017,0.114
IRL,2018,0.074
ITA,2004,0.147
ITA,2005,0.143
ITA,2006,0.15
ITA,2007,0.143
ITA,2008,0.133
ITA,2009,0.111
ITA,2010,0.117
ITA,2011,0.103
ITA,2012,0.092
ITA,2013,0.092
ITA,2014,0.093
ITA,2015,0.103
ITA,2016,0.103
ITA,2017,0.097
ITA,2018,0.113
LUX,2015,0.06
LUX,2016,0.077
LUX,2017,0.109
LUX,2018,0.071
LUX,2019,0.052
NLD,2011,0.023
NLD,2012,0.022
NLD,2013,0.033
NLD,2014,0.03
NLD,2015,0.035
NLD,2016,0.044
NLD,2017,0.048
NLD,2018,0.05
NLD,2019,0.052
POL,2005,0.044
POL,2006,0.049
POL,2007,0.077
