,Field 1,Field 2,Value
0,Poverty rate (no unit),Poverty rate (no unit),1.0
1,Poverty rate (no unit),GDP per hours worked (USD/hour),-0.25
2,Poverty rate (no unit),Income Inequality (no unit),0.89
3,Poverty rate (no unit),Employment Rate (no unit),-0.32
4,Poverty rate (no unit),Hours worked per year (hours/year),0.29
5,Poverty rate (no unit),Average Wage (USD),-0.27
6,GDP per hours worked (USD/hour),Poverty rate (no unit),-0.25
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0
8,GDP per hours worked (USD/hour),Income Inequality (no unit),-0.15
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.38
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.61
11,GDP per hours worked (USD/hour),Average Wage (USD),0.91
12,Income Inequality (no unit),Poverty rate (no unit),0.89
13,Income Inequality (no unit),GDP per hours worked (USD/hour),-0.15
14,Income Inequality (no unit),Income Inequality (no unit),1.0
15,Income Inequality (no unit),Employment Rate (no unit),-0.3
16,Income Inequality (no unit),Hours worked per year (hours/year),0.23
17,Income Inequality (no unit),Average Wage (USD),-0.19
18,Employment Rate (no unit),Poverty rate (no unit),-0.32
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.38
20,Employment Rate (no unit),Income Inequality (no unit),-0.3
21,Employment Rate (no unit),Employment Rate (no unit),1.0
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.67
23,Employment Rate (no unit),Average Wage (USD),0.41
24,Hours worked per year (hours/year),Poverty rate (no unit),0.29
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.61
26,Hours worked per year (hours/year),Income Inequality (no unit),0.23
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.67
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0
29,Hours worked per year (hours/year),Average Wage (USD),-0.64
30,Average Wage (USD),Poverty rate (no unit),-0.27
31,Average Wage (USD),GDP per hours worked (USD/hour),0.91
32,Average Wage (USD),Income Inequality (no unit),-0.19
33,Average Wage (USD),Employment Rate (no unit),0.41
34,Average Wage (USD),Hours worked per year (hours/year),-0.64
35,Average Wage (USD),Average Wage (USD),1.0
