,Field 1,Field 2,Value,country
0,Poverty rate (no unit),Poverty rate (no unit),1.0,AUS
1,Poverty rate (no unit),GDP per hours worked (USD/hour),-0.91,AUS
2,Poverty rate (no unit),Income Inequality (no unit),-0.2,AUS
3,Poverty rate (no unit),Employment Rate (no unit),-0.28,AUS
4,Poverty rate (no unit),Hours worked per year (hours/year),0.93,AUS
5,Poverty rate (no unit),Average Wage (USD),0.5,AUS
6,GDP per hours worked (USD/hour),Poverty rate (no unit),-0.91,AUS
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,AUS
8,GDP per hours worked (USD/hour),Income Inequality (no unit),-0.16,AUS
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.93,AUS
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.95,AUS
11,GDP per hours worked (USD/hour),Average Wage (USD),0.98,AUS
12,Income Inequality (no unit),Poverty rate (no unit),-0.2,AUS
13,Income Inequality (no unit),GDP per hours worked (USD/hour),-0.16,AUS
14,Income Inequality (no unit),Income Inequality (no unit),1.0,AUS
15,Income Inequality (no unit),Employment Rate (no unit),-0.82,AUS
16,Income Inequality (no unit),Hours worked per year (hours/year),0.13,AUS
17,Income Inequality (no unit),Average Wage (USD),0.74,AUS
18,Employment Rate (no unit),Poverty rate (no unit),-0.28,AUS
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.93,AUS
20,Employment Rate (no unit),Income Inequality (no unit),-0.82,AUS
21,Employment Rate (no unit),Employment Rate (no unit),1.0,AUS
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.88,AUS
23,Employment Rate (no unit),Average Wage (USD),0.93,AUS
24,Hours worked per year (hours/year),Poverty rate (no unit),0.93,AUS
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.95,AUS
26,Hours worked per year (hours/year),Income Inequality (no unit),0.13,AUS
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.88,AUS
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,AUS
29,Hours worked per year (hours/year),Average Wage (USD),-0.93,AUS
30,Average Wage (USD),Poverty rate (no unit),0.5,AUS
