country,Year,Income Inequality (no unit)
AUS,2012,0.326
AUS,2014,0.337
AUS,2016,0.33
AUS,2018,0.325
CAN,1976,0.303
CAN,1977,0.289
CAN,1978,0.294
CAN,1979,0.289
CAN,1980,0.289
CAN,1981,0.288
CAN,1982,0.292
CAN,1983,0.3
CAN,1984,0.297
CAN,1985,0.294
CAN,1986,0.293
CAN,1987,0.291
CAN,1988,0.286
CAN,1989,0.284
CAN,1990,0.289
CAN,1991,0.296
CAN,1992,0.296
CAN,1993,0.29
CAN,1994,0.291
CAN,1995,0.293
CAN,1996,0.301
CAN,1997,0.304
CAN,1998,0.31
CAN,1999,0.308
CAN,2000,0.315
CAN,2001,0.317
CAN,2002,0.317
CAN,2003,0.315
CAN,2004,0.321
CAN,2005,0.315
CAN,2006,0.316
CAN,2007,0.317
CAN,2008,0.315
CAN,2009,0.316
CAN,2010,0.316
CAN,2011,0.313
CAN,2012,0.317
CAN,2013,0.32
CAN,2014,0.313
CAN,2015,0.318
CAN,2016,0.307
CAN,2017,0.31
CAN,2018,0.303
CAN,2019,0.301
ISL,2004,0.261
ISL,2005,0.273
ISL,2006,0.289
ISL,2007,0.285
ISL,2008,0.306
ISL,2009,0.266
ISL,2010,0.248
ISL,2011,0.252
ISL,2012,0.252
ISL,2013,0.24
ISL,2014,0.246
ISL,2015,0.257
ISL,2016,0.264
ISL,2017,0.25
KOR,2015,0.352
KOR,2016,0.355
KOR,2017,0.354
KOR,2018,0.345
MEX,2012,0.457
MEX,2014,0.459
MEX,2016,0.458
MEX,2018,0.418
NZL,2011,0.323
NZL,2012,0.333
NZL,2014,0.349
NOR,2004,0.285
NOR,2008,0.25
NOR,2009,0.245
NOR,2010,0.249
NOR,2011,0.25
NOR,2012,0.253
NOR,2013,0.252
NOR,2014,0.257
NOR,2015,0.272
NOR,2016,0.262
NOR,2017,0.262
NOR,2018,0.262
NOR,2019,0.261
CHE,2006,0.305
CHE,2007,0.312
CHE,2008,0.306
CHE,2009,0.297
CHE,2010,0.298
CHE,2011,0.289
CHE,2012,0.285
CHE,2013,0.295
CHE,2014,0.297
CHE,2015,0.296
CHE,2016,0.302
CHE,2017,0.299
CHE,2018,0.311
GBR,2002,0.359
GBR,2003,0.353
GBR,2004,0.354
GBR,2005,0.359
GBR,2006,0.364
GBR,2007,0.373
GBR,2008,0.369
GBR,2009,0.374
GBR,2010,0.351
GBR,2011,0.354
GBR,2012,0.351
GBR,2013,0.358
GBR,2014,0.356
GBR,2015,0.36
GBR,2016,0.351
GBR,2017,0.357
GBR,2018,0.366
GBR,2019,0.366
USA,2013,0.396
USA,2014,0.394
USA,2015,0.39
USA,2016,0.391
USA,2017,0.39
USA,2018,0.393
USA,2019,0.395
CHL,2009,0.48
CHL,2011,0.471
CHL,2013,0.465
CHL,2015,0.454
CHL,2017,0.46
ISR,2011,0.371
ISR,2012,0.371
ISR,2013,0.36
ISR,2014,0.365
ISR,2015,0.36
ISR,2016,0.346
ISR,2017,0.344
ISR,2018,0.348
