,Field 1,Field 2,Value,country
0,Poverty rate (no unit),Poverty rate (no unit),1.0,AUT
1,Poverty rate (no unit),GDP per hours worked (USD/hour),0.11,AUT
2,Poverty rate (no unit),Income Inequality (no unit),0.23,AUT
3,Poverty rate (no unit),Employment Rate (no unit),0.31,AUT
4,Poverty rate (no unit),Hours worked per year (hours/year),0.11,AUT
5,Poverty rate (no unit),Average Wage (USD),0.23,AUT
6,GDP per hours worked (USD/hour),Poverty rate (no unit),0.11,AUT
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,AUT
8,GDP per hours worked (USD/hour),Income Inequality (no unit),-0.61,AUT
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.85,AUT
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.92,AUT
11,GDP per hours worked (USD/hour),Average Wage (USD),0.99,AUT
12,Income Inequality (no unit),Poverty rate (no unit),0.23,AUT
13,Income Inequality (no unit),GDP per hours worked (USD/hour),-0.61,AUT
14,Income Inequality (no unit),Income Inequality (no unit),1.0,AUT
15,Income Inequality (no unit),Employment Rate (no unit),-0.52,AUT
16,Income Inequality (no unit),Hours worked per year (hours/year),0.53,AUT
17,Income Inequality (no unit),Average Wage (USD),-0.3,AUT
18,Employment Rate (no unit),Poverty rate (no unit),0.31,AUT
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.85,AUT
20,Employment Rate (no unit),Income Inequality (no unit),-0.52,AUT
21,Employment Rate (no unit),Employment Rate (no unit),1.0,AUT
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.84,AUT
23,Employment Rate (no unit),Average Wage (USD),0.86,AUT
24,Hours worked per year (hours/year),Poverty rate (no unit),0.11,AUT
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.92,AUT
26,Hours worked per year (hours/year),Income Inequality (no unit),0.53,AUT
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.84,AUT
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,AUT
29,Hours worked per year (hours/year),Average Wage (USD),-0.9,AUT
30,Average Wage (USD),Poverty rate (no unit),0.23,AUT
31,Average Wage (USD),GDP per hours worked (USD/hour),0.99,AUT
32,Average Wage (USD),Income Inequality (no unit),-0.3,AUT
33,Average Wage (USD),Employment Rate (no unit),0.86,AUT
34,Average Wage (USD),Hours worked per year (hours/year),-0.9,AUT
35,Average Wage (USD),Average Wage (USD),1.0,AUT
0,Poverty rate (no unit),Poverty rate (no unit),1.0,BEL
1,Poverty rate (no unit),GDP per hours worked (USD/hour),-1.0,BEL
2,Poverty rate (no unit),Income Inequality (no unit),-1.0,BEL
3,Poverty rate (no unit),Employment Rate (no unit),-1.0,BEL
4,Poverty rate (no unit),Hours worked per year (hours/year),1.0,BEL
5,Poverty rate (no unit),Average Wage (USD),-1.0,BEL
6,GDP per hours worked (USD/hour),Poverty rate (no unit),-1.0,BEL
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,BEL
8,GDP per hours worked (USD/hour),Income Inequality (no unit),1.0,BEL
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.89,BEL
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.94,BEL
