country,Year,Hours worked per year (hours/year)
KOR,2010,2163.0
KOR,2011,2136.0
KOR,2012,2119.0
KOR,2013,2106.0
KOR,2014,2076.0
KOR,2015,2083.0
KOR,2016,2068.0
KOR,2017,2018.0
KOR,2018,1993.0
KOR,2019,1967.0
KOR,2020,1908.0
MEX,1991,2113.0
MEX,1992,2104.0
MEX,1993,2112.0
MEX,1994,2146.0
MEX,1995,2161.0
MEX,1996,2192.0
MEX,1997,2241.0
MEX,1998,2168.0
MEX,1999,2242.0
MEX,2000,2174.0
MEX,2001,2146.0
MEX,2002,2196.0
MEX,2003,2143.0
MEX,2004,2123.0
MEX,2005,2105.0
MEX,2006,2067.0
MEX,2007,2045.0
MEX,2008,2105.0
MEX,2009,1973.0
MEX,2010,2150.0
MEX,2011,2121.0
MEX,2012,2120.0
MEX,2013,2136.0
MEX,2014,2134.0
MEX,2015,2140.0
MEX,2016,2146.0
MEX,2017,2149.0
MEX,2018,2149.0
MEX,2019,2139.0
MEX,2020,2124.0
NZL,1986,1834.0
NZL,1987,1838.0
NZL,1988,1829.0
NZL,1989,1820.0
NZL,1990,1809.0
NZL,1991,1792.0
NZL,1992,1799.0
NZL,1993,1853.0
NZL,1994,1848.0
NZL,1995,1841.0
NZL,1996,1834.0
NZL,1997,1826.0
NZL,1998,1829.0
NZL,1999,1845.0
NZL,2000,1836.0
NZL,2001,1825.0
NZL,2002,1826.0
NZL,2003,1823.0
NZL,2004,1830.0
NZL,2005,1815.0
NZL,2006,1795.0
NZL,2007,1774.0
NZL,2008,1761.0
NZL,2009,1740.0
NZL,2010,1755.0
NZL,2011,1746.0
NZL,2012,1734.0
NZL,2013,1756.0
NZL,2014,1758.0
NZL,2015,1753.0
NZL,2016,1754.0
NZL,2017,1756.0
NZL,2018,1759.0
NZL,2019,1783.0
NZL,2020,1739.0
NOR,1962,1995.0
NOR,1963,1986.0
NOR,1964,1996.0
NOR,1965,1951.0
NOR,1966,1952.0
NOR,1967,1936.0
NOR,1968,1897.0
NOR,1969,1849.0
NOR,1970,1835.0
NOR,1971,1813.4
NOR,1972,1780.5
NOR,1973,1766.2
NOR,1974,1745.0
NOR,1975,1728.1
NOR,1976,1674.5
NOR,1977,1638.4
NOR,1978,1601.9
NOR,1979,1580.1
NOR,1980,1579.8
NOR,1981,1570.2
NOR,1982,1558.9
NOR,1983,1553.3
NOR,1984,1548.3
NOR,1985,1542.3
NOR,1986,1538.2
NOR,1987,1510.7
NOR,1988,1513.3
NOR,1989,1510.4
NOR,1990,1502.6
NOR,1991,1500.3
NOR,1992,1510.1
NOR,1993,1506.8
NOR,1994,1505.0
NOR,1995,1487.8
NOR,1996,1482.6
NOR,1997,1477.6
NOR,1998,1475.5
NOR,1999,1474.4
NOR,2000,1456.6
NOR,2001,1424.1
NOR,2002,1406.7
NOR,2003,1389.7
NOR,2004,1405.1
NOR,2005,1405.9
NOR,2006,1399.3
NOR,2007,1405.6
NOR,2008,1406.6
NOR,2009,1387.1
NOR,2010,1395.1
NOR,2011,1399.9
NOR,2012,1396.3
NOR,2013,1386.7
NOR,2014,1389.5
NOR,2015,1391.9
NOR,2016,1394.7
NOR,2017,1380.4
NOR,2018,1379.3
NOR,2019,1381.4
NOR,2020,1368.7
CHE,1991,1718.1
CHE,1992,1725.4
CHE,1993,1720.4
CHE,1994,1739.7
CHE,1995,1720.3
CHE,1996,1696.9
CHE,1997,1687.5
CHE,1998,1695.5
CHE,1999,1717.4
CHE,2000,1712.7
CHE,2001,1672.8
CHE,2002,1651.3
CHE,2003,1664.5
CHE,2004,1695.0
CHE,2005,1690.0
CHE,2006,1679.2
CHE,2007,1668.9
CHE,2008,1659.5
CHE,2009,1650.8
CHE,2010,1611.0
CHE,2011,1608.0
CHE,2012,1593.0
CHE,2013,1573.0
CHE,2014,1564.0
CHE,2015,1577.0
CHE,2016,1577.0
CHE,2017,1559.0
CHE,2018,1551.0
CHE,2019,1549.0
CHE,2020,1495.0
GBR,1970,1775.0
GBR,1971,1740.0
GBR,1972,1709.0
GBR,1973,1761.0
GBR,1974,1725.0
GBR,1975,1720.0
GBR,1976,1705.0
GBR,1977,1687.0
GBR,1978,1669.0
GBR,1979,1662.0
GBR,1980,1619.0
GBR,1981,1567.0
GBR,1982,1581.0
GBR,1983,1568.0
GBR,1984,1583.0
GBR,1985,1613.0
GBR,1986,1616.0
GBR,1987,1606.0
GBR,1988,1642.0
GBR,1989,1631.0
GBR,1990,1618.0
GBR,1991,1615.0
GBR,1992,1583.0
GBR,1993,1577.0
GBR,1994,1586.0
GBR,1995,1586.0
GBR,1996,1586.0
GBR,1997,1586.0
GBR,1998,1582.0
GBR,1999,1573.0
GBR,2000,1558.0
GBR,2001,1563.0
GBR,2002,1543.0
GBR,2003,1534.0
GBR,2004,1534.0
GBR,2005,1544.0
GBR,2006,1536.0
GBR,2007,1541.0
GBR,2008,1525.0
GBR,2009,1516.0
GBR,2010,1507.0
GBR,2011,1515.0
GBR,2012,1531.0
GBR,2013,1534.0
GBR,2014,1542.0
GBR,2015,1525.0
GBR,2016,1541.0
GBR,2017,1536.0
GBR,2018,1536.0
GBR,2019,1537.0
GBR,2020,1367.0
USA,1950,1968.0
USA,1951,1987.0
USA,1952,1988.0
USA,1953,1993.0
USA,1954,1984.0
USA,1955,2003.0
USA,1956,2002.0
USA,1957,1973.0
USA,1958,1947.0
USA,1959,1958.0
USA,1960,1952.0
USA,1961,1941.0
USA,1962,1960.0
USA,1963,1972.0
USA,1964,1975.0
USA,1965,1984.0
USA,1966,1974.0
USA,1967,1951.0
USA,1968,1940.0
USA,1969,1938.0
USA,1970,1907.0
USA,1971,1894.0
USA,1972,1890.0
USA,1973,1891.0
USA,1974,1860.0
USA,1975,1839.0
USA,1976,1841.0
USA,1977,1844.0
USA,1978,1836.0
USA,1979,1834.0
USA,1980,1816.0
USA,1981,1812.0
USA,1982,1803.0
USA,1983,1822.0
USA,1984,1839.0
USA,1985,1838.0
USA,1986,1829.0
USA,1987,1839.0
USA,1988,1837.0
USA,1989,1848.0
USA,1990,1833.0
USA,1991,1823.0
USA,1992,1822.0
USA,1993,1828.0
USA,1994,1839.0
USA,1995,1839.0
USA,1996,1840.0
USA,1997,1843.0
USA,1998,1842.0
USA,1999,1839.0
USA,2000,1832.0
USA,2001,1811.0
USA,2002,1806.0
USA,2003,1796.0
USA,2004,1798.0
USA,2005,1794.0
USA,2006,1796.0
USA,2007,1795.0
USA,2008,1786.0
USA,2009,1761.0
USA,2010,1772.0
USA,2011,1778.0
USA,2012,1782.0
USA,2013,1780.0
USA,2014,1782.0
USA,2015,1783.0
USA,2016,1778.0
USA,2017,1778.0
USA,2018,1782.0
USA,2019,1777.0
USA,2020,1767.0
CHL,1986,2399.0
CHL,1987,2405.0
CHL,1988,2411.0
CHL,1989,2416.0
CHL,1990,2422.0
CHL,1991,2419.0
CHL,1992,2415.0
CHL,1993,2389.0
CHL,1994,2364.0
CHL,1995,2338.0
CHL,1996,2313.0
CHL,1997,2256.0
CHL,1998,2299.0
CHL,1999,2277.0
CHL,2000,2263.0
CHL,2001,2242.0
CHL,2002,2250.0
CHL,2003,2235.0
CHL,2004,2232.0
CHL,2005,2157.0
CHL,2006,2165.0
CHL,2007,2128.0
CHL,2008,2095.0
CHL,2009,2074.0
CHL,2010,2069.8
CHL,2011,2050.2
CHL,2012,2027.4
CHL,2013,2021.3
CHL,2014,1994.4
CHL,2015,1993.7
CHL,2016,1977.5
CHL,2017,1963.1
CHL,2018,1955.5
CHL,2019,1929.5
CHL,2020,1825.3
ISR,1981,1966.0
ISR,1982,1942.3
ISR,1983,1929.1
ISR,1984,1932.2
ISR,1985,1932.1
ISR,1986,1927.0
ISR,1987,1921.2
ISR,1988,1878.1
ISR,1989,1909.1
ISR,1990,1904.0
ISR,1991,1897.3
ISR,1992,1951.2
ISR,1993,1953.0
ISR,1994,1993.1
ISR,1995,2013.8
ISR,1996,2031.0
ISR,1997,2036.3
ISR,1998,2011.9
ISR,1999,2021.09
ISR,2000,2032.9
ISR,2001,1996.1
ISR,2002,2014.3
ISR,2003,1997.5
ISR,2004,1975.0
ISR,2005,1966.4
ISR,2006,1955.0
ISR,2007,1966.5
ISR,2008,1963.3
ISR,2009,1962.5
ISR,2010,1956.5
ISR,2011,1947.2
ISR,2012,1918.8
ISR,2013,1908.2
ISR,2014,1894.5
ISR,2015,1895.4
ISR,2016,1922.1
ISR,2017,1918.0
ISR,2018,1910.1
ISR,2019,1898.1
ISR,2020,1782.5
