country,Year,Poverty rate (no unit)
AUT,2007,0.088
AUT,2008,0.083
AUT,2009,0.086
AUT,2010,0.079
AUT,2011,0.087
AUT,2012,0.089
AUT,2013,0.084
AUT,2014,0.087
AUT,2015,0.087
AUT,2016,0.095
AUT,2017,0.088
AUT,2018,0.092
AUT,2019,0.091
BEL,2018,0.077
BEL,2019,0.073
CZE,2004,0.052
CZE,2005,0.049
CZE,2006,0.05
CZE,2007,0.049
CZE,2008,0.052
CZE,2009,0.054
CZE,2010,0.06
CZE,2011,0.057
CZE,2012,0.05
CZE,2013,0.055
CZE,2014,0.053
CZE,2015,0.058
CZE,2016,0.05
CZE,2017,0.047
CZE,2018,0.048
CZE,2019,0.043
DNK,2011,0.066
DNK,2012,0.065
DNK,2013,0.067
DNK,2014,0.07
DNK,2015,0.07
DNK,2016,0.073
DNK,2017,0.075
DNK,2018,0.077
FIN,1987,0.05
FIN,1988,0.053
FIN,1989,0.049
FIN,1990,0.047
FIN,1991,0.052
FIN,1992,0.05
FIN,1993,0.046
FIN,1994,0.048
FIN,1995,0.047
FIN,1996,0.051
FIN,1997,0.051
FIN,1998,0.053
FIN,1999,0.054
FIN,2000,0.055
FIN,2001,0.066
FIN,2002,0.065
FIN,2003,0.055
FIN,2004,0.065
FIN,2005,0.066
FIN,2006,0.071
FIN,2007,0.073
FIN,2008,0.076
FIN,2009,0.076
FIN,2010,0.077
FIN,2011,0.078
FIN,2012,0.07
FIN,2013,0.078
FIN,2014,0.079
FIN,2015,0.075
FIN,2016,0.068
FIN,2017,0.072
FIN,2018,0.072
FRA,2012,0.086
FRA,2013,0.078
FRA,2014,0.082
FRA,2015,0.083
FRA,2016,0.085
FRA,2017,0.083
FRA,2018,0.086
FRA,2019,0.085
DEU,2008,0.085
DEU,2011,0.087
DEU,2012,0.083
DEU,2013,0.091
DEU,2014,0.095
DEU,2015,0.1
DEU,2016,0.102
DEU,2017,0.102
DEU,2018,0.097
GRC,2004,0.101
GRC,2005,0.112
GRC,2006,0.114
GRC,2007,0.123
GRC,2008,0.119
GRC,2009,0.121
GRC,2010,0.132
GRC,2011,0.158
GRC,2012,0.158
GRC,2013,0.161
GRC,2014,0.156
GRC,2015,0.161
GRC,2016,0.156
GRC,2017,0.135
GRC,2018,0.131
GRC,2019,0.122
HUN,2006,0.068
