,Field 1,Field 2,Value
0,Poverty rate (no unit),Poverty rate (no unit),1.0
1,Poverty rate (no unit),GDP per hours worked (USD/hour),-0.54
2,Poverty rate (no unit),Income Inequality (no unit),0.77
3,Poverty rate (no unit),Employment Rate (no unit),-0.8
4,Poverty rate (no unit),Hours worked per year (hours/year),0.79
5,Poverty rate (no unit),Average Wage (USD),-0.53
6,GDP per hours worked (USD/hour),Poverty rate (no unit),-0.54
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0
8,GDP per hours worked (USD/hour),Income Inequality (no unit),-0.46
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.72
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.8
11,GDP per hours worked (USD/hour),Average Wage (USD),0.83
12,Income Inequality (no unit),Poverty rate (no unit),0.77
13,Income Inequality (no unit),GDP per hours worked (USD/hour),-0.46
14,Income Inequality (no unit),Income Inequality (no unit),1.0
15,Income Inequality (no unit),Employment Rate (no unit),-0.6
16,Income Inequality (no unit),Hours worked per year (hours/year),0.62
17,Income Inequality (no unit),Average Wage (USD),-0.58
18,Employment Rate (no unit),Poverty rate (no unit),-0.8
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.72
20,Employment Rate (no unit),Income Inequality (no unit),-0.6
21,Employment Rate (no unit),Employment Rate (no unit),1.0
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.79
23,Employment Rate (no unit),Average Wage (USD),0.76
24,Hours worked per year (hours/year),Poverty rate (no unit),0.79
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.8
26,Hours worked per year (hours/year),Income Inequality (no unit),0.62
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.79
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0
29,Hours worked per year (hours/year),Average Wage (USD),-0.68
30,Average Wage (USD),Poverty rate (no unit),-0.53
31,Average Wage (USD),GDP per hours worked (USD/hour),0.83
32,Average Wage (USD),Income Inequality (no unit),-0.58
33,Average Wage (USD),Employment Rate (no unit),0.76
34,Average Wage (USD),Hours worked per year (hours/year),-0.68
35,Average Wage (USD),Average Wage (USD),1.0
