country,Year,Poverty rate (no unit)
AUT,2007,0.097
AUT,2008,0.098
AUT,2009,0.11
AUT,2010,0.1
AUT,2011,0.092
AUT,2012,0.104
AUT,2013,0.104
AUT,2014,0.108
AUT,2015,0.096
AUT,2016,0.115
AUT,2017,0.115
AUT,2018,0.096
AUT,2019,0.13
BEL,2018,0.092
BEL,2019,0.085
CZE,2004,0.102
CZE,2005,0.096
CZE,2006,0.097
CZE,2007,0.087
CZE,2008,0.093
CZE,2009,0.107
CZE,2010,0.106
CZE,2011,0.096
CZE,2012,0.082
CZE,2013,0.101
CZE,2014,0.102
CZE,2015,0.104
CZE,2016,0.085
CZE,2017,0.068
CZE,2018,0.064
CZE,2019,0.071
DNK,2011,0.035
DNK,2012,0.027
DNK,2013,0.027
DNK,2014,0.029
DNK,2015,0.029
DNK,2016,0.037
DNK,2017,0.047
DNK,2018,0.049
FIN,1987,0.03
FIN,1988,0.029
FIN,1989,0.031
FIN,1990,0.019
FIN,1991,0.023
FIN,1992,0.026
FIN,1993,0.026
FIN,1994,0.023
FIN,1995,0.02
FIN,1996,0.021
FIN,1997,0.027
FIN,1998,0.027
FIN,1999,0.031
FIN,2000,0.03
FIN,2001,0.04
FIN,2002,0.042
FIN,2003,0.04
FIN,2004,0.038
FIN,2005,0.034
FIN,2006,0.039
FIN,2007,0.052
FIN,2008,0.052
FIN,2009,0.044
FIN,2010,0.039
FIN,2011,0.04
FIN,2012,0.029
FIN,2013,0.046
FIN,2014,0.036
FIN,2015,0.037
FIN,2016,0.033
FIN,2017,0.036
FIN,2018,0.035
FRA,2012,0.12
FRA,2013,0.114
FRA,2014,0.115
FRA,2015,0.113
FRA,2016,0.115
FRA,2017,0.112
FRA,2018,0.117
FRA,2019,0.117
DEU,2008,0.084
DEU,2011,0.08
DEU,2012,0.074
DEU,2013,0.098
DEU,2014,0.095
DEU,2015,0.112
DEU,2016,0.123
DEU,2017,0.113
DEU,2018,0.111
GRC,2004,0.125
GRC,2005,0.143
GRC,2006,0.152
GRC,2007,0.156
GRC,2008,0.161
GRC,2009,0.156
GRC,2010,0.156
GRC,2011,0.201
GRC,2012,0.208
GRC,2013,0.188
GRC,2014,0.191
GRC,2015,0.189
GRC,2016,0.176
GRC,2017,0.159
GRC,2018,0.139
GRC,2019,0.144
