country,Year,Poverty rate (no unit)
AUT,2007,0.097
AUT,2008,0.093
AUT,2009,0.096
AUT,2010,0.089
AUT,2011,0.091
AUT,2012,0.096
AUT,2013,0.09
AUT,2014,0.091
AUT,2015,0.087
AUT,2016,0.098
AUT,2017,0.094
AUT,2018,0.094
AUT,2019,0.1
BEL,2018,0.082
BEL,2019,0.081
CZE,2004,0.058
CZE,2005,0.055
CZE,2006,0.056
CZE,2007,0.055
CZE,2008,0.059
CZE,2009,0.06
CZE,2010,0.065
CZE,2011,0.059
CZE,2012,0.052
CZE,2013,0.059
CZE,2014,0.059
CZE,2015,0.064
CZE,2016,0.056
CZE,2017,0.056
CZE,2018,0.061
CZE,2019,0.056
DNK,2011,0.058
DNK,2012,0.054
DNK,2013,0.054
DNK,2014,0.055
DNK,2015,0.055
DNK,2016,0.058
DNK,2017,0.061
DNK,2018,0.064
FIN,1987,0.052
FIN,1988,0.056
FIN,1989,0.057
FIN,1990,0.056
FIN,1991,0.054
FIN,1992,0.05
FIN,1993,0.042
FIN,1994,0.042
FIN,1995,0.042
FIN,1996,0.046
FIN,1997,0.048
FIN,1998,0.05
FIN,1999,0.052
FIN,2000,0.053
FIN,2001,0.063
FIN,2002,0.062
FIN,2003,0.056
FIN,2004,0.065
FIN,2005,0.066
FIN,2006,0.069
FIN,2007,0.078
FIN,2008,0.079
FIN,2009,0.074
FIN,2010,0.072
FIN,2011,0.075
FIN,2012,0.065
FIN,2013,0.071
FIN,2014,0.068
FIN,2015,0.063
FIN,2016,0.058
FIN,2017,0.063
FIN,2018,0.065
FRA,2012,0.085
FRA,2013,0.079
FRA,2014,0.081
FRA,2015,0.081
FRA,2016,0.083
FRA,2017,0.081
FRA,2018,0.085
FRA,2019,0.084
DEU,2008,0.09
DEU,2011,0.087
DEU,2012,0.084
DEU,2013,0.091
DEU,2014,0.095
DEU,2015,0.101
DEU,2016,0.104
DEU,2017,0.104
DEU,2018,0.098
GRC,2004,0.12
GRC,2005,0.129
GRC,2006,0.127
GRC,2007,0.132
GRC,2008,0.129
GRC,2009,0.129
GRC,2010,0.141
GRC,2011,0.151
GRC,2012,0.149
GRC,2013,0.151
GRC,2014,0.148
GRC,2015,0.149
GRC,2016,0.144
GRC,2017,0.126
GRC,2018,0.121
GRC,2019,0.115
HUN,2006,0.072
HUN,2007,0.065
HUN,2008,0.059
HUN,2009,0.061
HUN,2010,0.073
HUN,2011,0.077
HUN,2012,0.085
HUN,2013,0.086
HUN,2014,0.087
HUN,2015,0.085
HUN,2016,0.077
HUN,2017,0.08
HUN,2018,0.087
HUN,2019,0.092
IRL,2004,0.134
IRL,2005,0.116
IRL,2006,0.114
IRL,2007,0.096
IRL,2008,0.091
IRL,2009,0.088
IRL,2010,0.091
IRL,2011,0.1
IRL,2012,0.094
IRL,2013,0.095
IRL,2014,0.093
IRL,2015,0.098
IRL,2016,0.091
IRL,2017,0.09
IRL,2018,0.074
ITA,2004,0.122
ITA,2005,0.126
ITA,2006,0.123
ITA,2007,0.119
