"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","1995",34.0567679240593,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","1996",34.0323126730206,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","1997",34.7399680418179,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","1998",35.2186097440412,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","1999",35.7703801386688,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2000",35.974247353087,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2001",35.3376058881146,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2002",35.5276079635514,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2003",35.5392281451827,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2004",35.7032403675641,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2005",35.7857305894932,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2006",36.1400356865424,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2007",36.4685149091029,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2008",37.7611114153608,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2009",39.0320793976318,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2010",39.9958801760362,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2011",39.8895575466799,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2012",39.1796604378814,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2013",39.1314046466934,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2014",39.6075744535076,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2015",39.7306404188584,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2016",39.2377271719858,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2017",39.0511593459807,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2018",39.2751786337503,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2019",40.1695730809823,"E"
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2020",41.979805120684,"E"
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2021",41.9085140627884,"E"
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1970",56.2686446100742,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1971",56.8360825075051,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1972",56.9975457368943,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1973",56.727746395962,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1974",58.0707785208265,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1975",60.6608203516335,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1976",61.2995713749417,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1977",61.4175231505037,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1978",61.5016354254355,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1979",61.5297094435104,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1980",62.0172946416387,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1981",62.2848639941006,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1982",62.2746061165975,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1983",61.6359776544014,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1984",60.9060668713057,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1985",60.2700859768752,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1986",58.679440946463,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1987",58.3008877835793,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1988",57.013620753216,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1989",56.1767396440738,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1990",56.6102984257082,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1991",56.945784245572,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1992",56.8022355132856,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1993",57.1547420157438,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1994",56.8369551644676,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1995",57.0490510681214,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1996",57.264818751108,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1997",56.858923923178,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1998",56.4180432367684,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1999",56.9290870474751,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2000",56.6600896752796,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2001",56.7501387267199,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2002",57.1781963613989,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2003",57.289755947491,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2004",56.83876061043,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2005",56.9428498472654,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2006",56.9375942903563,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2007",56.2366607728732,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2008",56.3470092954895,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2009",57.8822565448108,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2010",57.8605955089304,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2011",57.8242361852294,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2012",58.2488901923667,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2013",58.3979922530359,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2014",58.462197039274,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2015",58.0147763671647,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2016",58.257853855438,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2017",58.6395579164364,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2018",58.595041322314,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2019",57.2944618671082,"E"
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2020",58.1549570845536,"E"
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2021",58.0814776021152,"E"
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","1995",0.568429642761668,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","1996",0.559862092467974,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","1997",0.609215935530755,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","1998",0.626653038637039,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","1999",0.601735391571272,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","2000",0.589485694105822,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","2001",0.575011187292487,
